name,url1,url2,url3
American Academy of Acupuncture and Oriental Medicine,http://www.aaaom.edu/,http://www.aaaom.edu/programs/,http://www.aaaom.edu/faculty/
American Academy of Art,https://www.aaart.edu/,https://en.wikipedia.org/wiki/American_Academy_of_Art,https://www.niche.com/colleges/american-academy-of-art/
American Academy of Dramatic Arts-Los Angeles,https://www.aada.edu/campuses/los-angeles-campus-overview/,https://www.aada.edu/,https://www.aada.edu/admissions/tuition-costs/
American Academy of Dramatic Arts-New York,https://www.aada.edu/,https://en.wikipedia.org/wiki/American_Academy_of_Dramatic_Arts,https://en.wikipedia.org/wiki/American_Academy_of_Dramatic_Arts#History
American Baptist College,https://abcnash.edu/,https://abcnash.edu/about/history/,https://abcnash.edu/academics/faculty/
American Baptist Seminary of the West,http://www.absw.edu/,https://www.gtu.edu/schools/absw,https://en.wikipedia.org/wiki/American_Baptist_Seminary_of_the_West
American Business and Technology University,https://abtu.edu/,https://abtu.edu/discover-abtu-what-we-offer/what-we-offer/,https://abtu.edu/im-a-student-explore-abtu-current-students/elearn-login-tutorials/
American Career College-Anaheim,https://americancareercollege.edu/locations/orange-county.html,https://americancareercollege.edu/,https://americancareercollege.edu/locations.html
American Career College-Los Angeles,https://americancareercollege.edu/locations/los-angeles.html,https://americancareercollege.edu/,https://americancareercollege.edu/programs.html
American Career College-Ontario,https://americancareercollege.edu/locations/ontario.html,https://americancareercollege.edu/,https://americancareercollege.edu/programs.html
American College for Medical Careers,https://www.acmc.edu/,https://www.acmc.edu/medical-career-programs/,https://www.acmc.edu/healthcare-career-training/
American College of Acupuncture and Oriental Med,https://www.acaom.edu/,https://www.acaom.edu/clinic/,https://www.acaom.edu/admissions/admissions-requirements/
American College of Education,https://www.ace.edu/,https://en.wikipedia.org/wiki/American_College_of_Education,https://www.gradreports.com/colleges/american-college-of-education
American College of Financial Services,https://www.theamericancollege.edu/,https://en.wikipedia.org/wiki/The_American_College_of_Financial_Services,https://www.facebook.com/theamericancollege/
American College of Healthcare Sciences,https://achs.edu/,https://en.wikipedia.org/wiki/American_College_of_Healthcare_Sciences,https://en.wikipedia.org/wiki/American_College_of_Healthcare_Sciences#History
American Conservatory Theater,https://www.act-sf.org/,https://en.wikipedia.org/wiki/American_Conservatory_Theater,https://en.wikipedia.org/wiki/American_Conservatory_Theater#History
American Film Institute Conservatory,https://www.afi.com/Conservatory/,https://en.wikipedia.org/wiki/AFI_Conservatory,https://en.wikipedia.org/wiki/AFI_Conservatory#History
American Institute of Alternative Medicine,https://www.aiam.edu/,https://www.facebook.com/AIAMColumbus/,https://www.educationcorner.com/american-institute-of-alternative-medicine.html
American InterContinental University,https://www.aiuniv.edu/,https://en.wikipedia.org/wiki/American_InterContinental_University,https://en.wikipedia.org/wiki/American_InterContinental_University#History
American InterContinental University-Atlanta,https://www.aiuniv.edu/campus-locations/atlanta,https://www.aiuniv.edu/,https://www.aiuniv.edu/campus-locations
American InterContinental University-Houston,https://www.aiuniv.edu/campus-locations/houston,https://www.aiuniv.edu/admissions/international-students/houston,https://www.aiuniv.edu/
American International College,https://www.aic.edu/,https://www.aic.edu/academics/academic-programs/,https://www.aic.edu/admissions/
American Jewish University,https://www.aju.edu/,https://en.wikipedia.org/wiki/American_Jewish_University,https://en.wikipedia.org/wiki/American_Jewish_University#History
American Medical Academy,http://ama.edu/,https://www.niche.com/colleges/american-medical-academy/,http://www.americanmedicalacademy.org/
American Musical and Dramatic Academy,https://www.amda.edu/,https://en.wikipedia.org/wiki/American_Musical_and_Dramatic_Academy,https://en.wikipedia.org/wiki/American_Musical_and_Dramatic_Academy#History
American National University,https://www.an.edu/,https://en.wikipedia.org/wiki/American_National_University,https://www.gradreports.com/colleges/american-national-university
American National University-Dayton,https://www.an.edu/locations/dayton-oh/,https://www.an.edu/lp/explore/national-college/default.lasso?c=ANU10,https://www.niche.com/colleges/american-national-university---dayton/
American National University-Lexington,https://www.an.edu/,https://www.an.edu/locations/lexington-ky/,https://www.an.edu/student/
American National University-Youngstown,https://www.an.edu/,https://www.an.edu/student/,https://www.an.edu/programs/
American Public University System,https://www.apus.edu/,https://en.wikipedia.org/wiki/American_Public_University_System,https://en.wikipedia.org/wiki/American_Public_University_System#History
American River College,http://www.arc.losrios.edu/,http://www.losrios.edu/class_schedules_reader.php?loc=arc/fall/index.html,https://en.wikipedia.org/wiki/American_River_College
American Samoa Community College,http://www.amsamoa.edu/,https://en.wikipedia.org/wiki/American_Samoa_Community_College,https://www.niche.com/colleges/american-samoa-community-college/
American Sentinel University,https://www.americansentinel.edu/,https://en.wikipedia.org/wiki/American_Sentinel_University,https://en.wikipedia.org/wiki/American_Sentinel_University#History
American Trade School,https://www.americantradeschool.edu/,https://www.americantradeschool.edu/hvac/,https://www.americantradeschool.edu/financial_aid/
American University,https://www.american.edu/,https://en.wikipedia.org/wiki/American_University,https://en.wikipedia.org/wiki/American_University#History
American University of Health Sciences,https://www.auhs.edu/,https://www.auhs.edu/academics/nursing/,https://www.auhs.edu/academics/pharmacy/
American University of Puerto Rico,https://aupr.edu/,https://aupr.edu/programas/,https://aupr.edu/recinto-de-bayamon/
American University of Puerto Rico,https://aupr.edu/,https://aupr.edu/programas/,https://aupr.edu/recinto-de-bayamon/
AmeriTech College-Draper,https://www.ameritech.edu/,https://www.niche.com/colleges/ameritech-college---draper/,https://www.niche.com/colleges/ameritech-college---draper/reviews/
Amherst College,https://www.amherst.edu/,https://www.amherst.edu/admission,https://www.amherst.edu/offices
Amridge University,http://www.amridgeuniversity.edu/,https://en.wikipedia.org/wiki/Amridge_University,https://en.wikipedia.org/wiki/Amridge_University#History
Anabaptist Mennonite Biblical Seminary,https://www.ambs.edu/,https://en.wikipedia.org/wiki/Anabaptist_Mennonite_Biblical_Seminary,https://en.wikipedia.org/wiki/Anabaptist_Mennonite_Biblical_Seminary#History
Ancilla College,https://www.ancilla.edu/,https://en.wikipedia.org/wiki/Ancilla_College,http://www.ancillachargers.com/
Anderson University,https://www.anderson.edu/,https://athletics.anderson.edu/,https://www.anderson.edu/admissions/
Anderson University,https://www.anderson.edu/,https://athletics.anderson.edu/,https://www.anderson.edu/admissions/
Andover Newton Theological School,https://andovernewton.yale.edu/,https://andovernewton.yale.edu/about/faculty-staff,https://andovernewton.yale.edu/about
Andrew College,https://www.andrewcollege.edu/,https://en.wikipedia.org/wiki/Andrew_College,https://en.wikipedia.org/wiki/Andrew_College#History
Andrews University,https://www.andrews.edu/,https://en.wikipedia.org/wiki/Andrews_University,https://en.wikipedia.org/wiki/Andrews_University#History
Angeles College,https://www.angelescollege.edu/,https://www.yelp.com/biz/angeles-college-los-angeles-3,https://www.niche.com/colleges/angeles-college/
